95;85286-03;500,00 ;1;22/06/2017;Diëtiste Ellen Vandamme - Een gezonde maaltijd;32 blz.;A5 staand geniet - 32 blz. ;maco silk light 
104;85386-04;500,00 ;1;22/06/2017;Diëtiste Ellen Vandamme - Een gezonde maaltijd;;2 x A5 staand ;maco silk 250 + MAT cover
95;85386-05;500,00 ;1;22/06/2017;Diëtiste Ellen Vandamme - Gezond naar de winkel;24 blz.;A5 staand geniet - 24 blz. ;maco silk light 
104;85386-06;500,00 ;1;22/06/2017;Diëtiste Ellen Vandamme - Gezond naar de winkel;;2 x A5 staand ;maco silk 250 + MAT cover
95;85244-01;1000,00 ;;22/06/2017;Sint-Romboutscollege jaarlijks tijdschrift;12 blz.;A5 liggend geniet - 12 blz. ;maco silk medium 
95;85298-01;500,00 ;1;22/06/2017;Brochure;08 blz.;carre 120 geniet - 08 blz. ;maco silk medium  + cover maco silk + MAT laminaat
104;85498-02;500,00 ;1;22/06/2017;Brochure;;2 x carre 120 ;maco silk 250 + MAT cover
